№|ID|серійний номер|адреса|місто|особливості|опис 4 зони|банк|модель|виробник|контактна особа|область|дата отримання ключа|наявність ключа|доступ|сигналізація|зарплатний проект|інкасація|flm|slm|розміщення|vip
260|4307|5300205777|м. Чоп, вул. Туряниці, 2|Чоп|FLM-5;SLM-5||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Закарпатська|20.06.2012|0|0|1|1|УСБ|Реноме-Смарт 6|Реноме-Смарт 10|Магазин Зина|1
261|4308|5300235833|м. Бердянськ, пр. Пролетарський, 13/73|Бердянськ|FLM-5;SLM-5||ALFA|ProCash 1500|WINCOR|Link: Радіоконект|Запорізька|18.07.2011|0|0|1|1|Альфа|Реноме-Смарт 6|Реноме-Смарт 10|с/м Велика Кишеня|1
262|4309|5300223301|м. Київ, вул. Братиславська, 11 (2-й АТМ)|Київ|FLM-7;SLM-5||ALFA|ProCash 1500|WINCOR|Link: Радіоконект|Київська|15.11.2013|0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|г/м Епіцентр|1
263|4310|13-45167168|м. Кропивницький, вул. Юрія Коваленка, 2А|Кропивницький|FLM-7;SLM-5||ALFA|SelfServ 6622|NCR|Link: Радіоконект|Кіровоградська||0|0|1|1|УСБ|PRINTEC 4|PRINTEC 8|с/м Велика Кишеня|1
264|4311|5300507194|м. Кропивницький, вул. Маланюка, 2|Кропивницький|FLM-5;SLM-5||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Кіровоградська|02.12.2013|0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Фірмовий Магазин Кіровоградської швейної фабрики|1
265|4312|13-48383101|с. Щирець, вул. Острівська, 32Г|Щирець|FLM-7;SLM-5||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Львівська||0|0|1|1|УСБ ВТ,ЧТ|PRINTEC 8|PRINTEC 12|Магазин|1
266|4313|5300201021|м. Одеса, вул. Овідіопільське шосе, 1|Одеса|FLM-7;SLM-5||ALFA|ProCash 1500|WINCOR|Link: Радіоконект|Одеська|13.07.2011|0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|г/м Епіцентр|1
267|4314|13-45179895|м. Ніжин, вул. Московська, 13А|Ніжин|FLM-5;SLM-5||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Чернігівська||0|0|1|1|УСБ ВТ,ЧТ|PRINTEC 8|PRINTEC 12|Гастроном Україна|1
268|4315|13-45167164|м. Харків, вул. Чкалова, 17 (3-й АТМ)|Харків|FLM-7;SLM-5 Встановлено без Х4||ALFA|SelfServ 6622|NCR|Link: Радіоконект|Харківська||0|0|1|0|УСБ|PRINTEC 4|PRINTEC 8|Авіаційний університет (центральна прохідна)|1
269|4316|13-45167165|м. Харків, вул. Героїв Праці, 9А|Харків|FLM-5;SLM-5||ALFA|SelfServ 6622|NCR|Link: Радіоконект|Харківська||0|0|1|1|УСБ|PRINTEC 4|PRINTEC 8|г/м Епіцентр|1
270|4317|5300356385|с. Дунаївці, вул. Шевченка, 109/5|Дунаївці|FLM-5;SLM-5||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Хмельницька|04.07.2011|0|0|1|1|УСБ ВТ,ЧТ|Реноме-Смарт 6|Реноме-Смарт 10|ТЦ Круг|1
271|4318|5300652264|м. Київ, пр. Героїв Сталінграду, 25-Б (3-й АТМ)|Київ|FLM-5;SLM-5||ALFA|ProCash 8000|WINCOR||Київська|05.06.2012|0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Київське №38|1
272|4319|5300356805|м. Вінниця, вул. Келецька, 122А|Вінниця|FLM-7;SLM-5||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Вінницька|06.07.2011|0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|ТК Вишенька|1
273|4320|5300357045|м. Кам'янське, пр. Свободи, 3 (1-й АТМ)|Кам'янське|FLM-5;SLM-5||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Дніпропетровська|08.07.2011|0|0|1|0|УСБ|Реноме-Смарт 6|Реноме-Смарт 10|ТОВ Дніпровський металургійний комбінат|1
